Panjang_Awal(m),Panjang_Akhir(m),Keliling (cm),Diameter (cm),KUBIKASI 
,,346,110,9.98
,,349,111,10.15
,,352,112,10.32
,,355,113,10.50
,,358,114,10.68
,,361,115,10.87
,,364,116,11.00
,,368,117,11.20
,,371,118,11.40
,,374,119,11.60
,,377,120,11.80
,,380,121,12.00
,,383,122,12.10
,,386,123,12.20
,,390,124,12.40
,,393,125,12.60
,,396,126,12.80
,,399,127,13.00
,,402,128,13.10
,,405,129,13.20
,,408,130,13.40
"15,00","20,00",94,30,1.83
,,97,31,1.93
,,100,32,2.03
,,104,33,2.12
,,107,34,2.23
,,110,35,2.33
,,113,36,2.44
,,116,37,2.55
,,119,38,2.65
,,122,39,2.77
,,126,40,2.87
,,129,41,3.00
,,132,42,3.11
,,135,43,3.24
,,138,44,3.36
,,141,45,3.47
,,144,46,3.61
,,148,47,3.73
,,151,48,3.87
,,154,49,4.00
,,157,50,4.13
,,160,51,4.28
,,163,52,4.41
,,166,53,4.55
,,170,54,4.70
,,173,55,4.84
,,176,56,4.99
,,179,57,5.15
,,182,58,5.30
,,185,59,5.45
,,188,60,5.60
,,192,61,5.77
,,195,62,5.92
,,198,63,6.09
,,201,64,6.26
,,204,65,6.43
,,207,66,6.59
,,210,67,6.77
,,214,68,6.95
,,217,69,7.12
"15,50",,220,70,7.30
,,223,71,7.48
,,226,72,7.67
,,229,73,7.85
,,232,74,8.04
,,236,75,8.23
,,239,76,8.42
,,242,77,8.63
,,245,78,8.82
,,248,79,9.02
,,251,80,9.22
,,254,81,9.42
,,258,82,9.63
,,261,83,9.84
,,264,84,10.06
,,267,85,10.26
,,270,86,10.47
,,273,87,10.69
,,276,88,10.91
,,280,89,11.14
,,283,90,11.38
,,286,91,11.60
,,289,92,11.83
,,292,93,12.06
,,295,94,12.29
,,298,95,12.52
,,302,96,12.76
,,305,97,13.01
,,308,98,13.24
,,311,99,13.52
,,314,100,13.76
,,317,101,14.01
,,320,102,14.26
,,324,103,14.52
,,327,104,14.77
,,330,105,15.03
,,333,106,15.29
,,336,107,15.55
,,339,108,15.82
,,342,109,16.09
,,346,110,16.35
"15,50",,349,111,16.64
,,352,112,16.90
,,355,113,17.19
,,358,114,17.46
,,361,115,17.78
,,364,116,18.00
,,368,117,18.40
,,371,118,18.60
,,374,119,18.90
,,377,120,19.20
,,380,121,19.40
,,383,122,19.70
,,386,123,20.00
,,390,124,20.30
,,393,125,20.60
,,396,126,20.80
,,399,127,21.10
,,402,128,21.40
,,405,129,21.70
,,408,130,22.00
