Nama ,Panjang (m),Keliling (cm),Diameter (cm),Isi ,,,,,,,,,,,,,,,,,
,,28,10,"0,044",,,,,,,,,,,,,,,,,
,,38,13,"0,071",,,,,,,,,,,,,,,,,
,,47,16,"0,103",,,,,,,,,,,,,,,,,
,,57,19,"0,141",,,,,,,,,,,,,,,,,
,"4,20",9,4,"0,009",,,,,,,,,,,,,,,,,
,,19,7,"0,024",,,,,,,,,,,,,,,,,
,,28,10,"0,046",,,,,,,,,,,,,,,,,
,,38,13,"0,073",,,,,,,,,,,,,,,,,
,,47,16,"0,106",,,,,,,,,,,,,,,,,
,,57,19,"0,145",,,,,,,,,,,,,,,,,
,"4,30",9,4,"0,009",,,,,,,,,,,,,,,,,
,,19,7,"0,025",,,,,,,,,,,,,,,,,
,,28,10,"0,047",,,,,,,,,,,,,,,,,
,,38,13,"0,076",,,,,,,,,,,,,,,,,
,,47,16,"0,110",,,,,,,,,,,,,,,,,
,,57,19,"0,150",,,,,,,,,,,,,,,,,
,"4,40",9,4,"0,010",,,,,,,,,,,,,,,,,
,,19,7,"0,025",,,,,,,,,,,,,,,,,
,,28,10,"0,049",,,,,,,,,,,,,,,,,
,,38,13,"0,078",,,,,,,,,,,,,,,,,
,,47,16,"0,113",,,,,,,,,,,,,,,,,
,,57,19,"0,154",,,,,,,,,,,,,,,,,
,"4,50",9,4,"0,010",,,,,,,,,,,,,,,,,
,,19,7,"0,026",,,,,,,,,,,,,,,,,
,,28,10,"0,050",,,,,,,,,,,,,,,,,
,,38,13,"0,080",,,,,,,,,,,,,,,,,
,,47,16,"0,116",,,,,,,,,,,,,,,,,
,,57,19,"0,158",,,,,,,,,,,,,,,,,
"Tabel A.8 ̶ AI (Kayu bundar kecil) (p : 4,60 - 5,10 m; d : 4 - 19 cm)","4,60",9,4,"0,010",,,,,,,,,,,,,,,,,
,,19,7,"0,027",,,,,,,,,,,,,,,,,
,,28,10,"0,052",,,,,,,,,,,,,,,,,
,,38,13,"0,082",,,,,,,,,,,,,,,,,
,,47,16,"0,119",,,,,,,,,,,,,,,,,
,,57,19,"0,162",,,,,,,,,,,,,,,,,
,"4,70",9,4,"0,010",,,,,,,,,,,,,,,,,
,,19,7,"0,028",,,,,,,,,,,,,,,,,
,,28,10,"0,053",,,,,,,,,,,,,,,,,
,,38,13,"0,085",,,,,,,,,,,,,,,,,
,,47,16,"0,123",,,,,,,,,,,,,,,,,
,,57,19,"0,167",,,,,,,,,,,,,,,,,
,"4,80",9,4,"0,011",,,,,,,,,,,,,,,,,
,,19,7,"0,028",,,,,,,,,,,,,,,,,
,,28,10,"0,055",,,,,,,,,,,,,,,,,
,,38,13,"0,087",,,,,,,,,,,,,,,,,
,,47,16,"0,126",,,,,,,,,,,,,,,,,
,,57,19,"0,171",,,,,,,,,,,,,,,,,
,"4,90",9,4,"0,011",,,,,,,,,,,,,,,,,
,,19,7,"0,029",,,,,,,,,,,,,,,,,
,,28,10,"0,056",,,,,,,,,,,,,,,,,
,,38,13,"0,090",,,,,,,,,,,,,,,,,
,,47,16,"0,130",,,,,,,,,,,,,,,,,
,,57,19,"0,176",,,,,,,,,,,,,,,,,
,"5,00",9,4,"0,110",,,,,,,,,,,,,,,,,
,,19,7,"0,030",,,,,,,,,,,,,,,,,
,,28,10,"0,058",,,,,,,,,,,,,,,,,
,,38,13,"0,092",,,,,,,,,,,,,,,,,
,,47,16,"0,133",,,,,,,,,,,,,,,,,
,,57,19,"0,180",,,,,,,,,,,,,,,,,
,"5,10",9,4,"0,110",,,,,,,,,,,,,,,,,
,,19,7,"0,031",,,,,,,,,,,,,,,,,
,,28,10,"0,059",,,,,,,,,,,,,,,,,
,,38,13,"0,094",,,,,,,,,,,,,,,,,
,,47,16,"0,136",,,,,,,,,,,,,,,,,
,,57,19,"0,184",,,,,,,,,,,,,,,,,
"Tabel A.9 ̶ AI (Kayu bundar kecil) (p : 5,20 - 5,70 m; d : 4 – 19 cm) ","5,20",9,4,"0,012",,,,,,,,,,,,,,,,,
,,19,7,"0,032",,,,,,,,,,,,,,,,,
,,28,10,"0,061",,,,,,,,,,,,,,,,,
,,38,13,"0,097",,,,,,,,,,,,,,,,,
,,47,16,"0,139",,,,,,,,,,,,,,,,,
,,57,19,"0,189",,,,,,,,,,,,,,,,,
,"5,30",9,4,"0,012",,,,,,,,,,,,,,,,,
,,19,7,"0,033",,,,,,,,,,,,,,,,,
,,28,10,"0,062",,,,,,,,,,,,,,,,,
,,38,13,"0,099",,,,,,,,,,,,,,,,,
,,47,16,"0,143",,,,,,,,,,,,,,,,,
,,57,19,"0,193",,,,,,,,,,,,,,,,,
,"5,40",9,4,"0,013",,,,,,,,,,,,,,,,,
,,19,7,"0,034",,,,,,,,,,,,,,,,,
,,28,10,"0,064",,,,,,,,,,,,,,,,,
,,38,13,"0,102",,,,,,,,,,,,,,,,,
,,47,16,"0,146",,,,,,,,,,,,,,,,,
,,57,19,"0,198",,,,,,,,,,,,,,,,,
,"5,50",9,4,"0,013",,,,,,,,,,,,,,,,,
,,19,7,"0,035",,,,,,,,,,,,,,,,,
,,28,10,"0,065",,,,,,,,,,,,,,,,,
,,38,13,"0,104",,,,,,,,,,,,,,,,,
,,47,16,"0,149",,,,,,,,,,,,,,,,,
,,57,19,"0,202",,,,,,,,,,,,,,,,,
,"5,60",9,4,"0,013",,,,,,,,,,,,,,,,,
,,19,7,"0,036",,,,,,,,,,,,,,,,,
,,28,10,"0,067",,,,,,,,,,,,,,,,,
,,38,13,"0,107",,,,,,,,,,,,,,,,,
,,47,16,"0,153",,,,,,,,,,,,,,,,,
,,57,19,"0,207",,,,,,,,,,,,,,,,,
,"5,70",9,4,"0,013",,,,,,,,,,,,,,,,,
,,19,7,"0,037",,,,,,,,,,,,,,,,,
,,28,10,"0,069",,,,,,,,,,,,,,,,,
,,38,13,"0,109",,,,,,,,,,,,,,,,,
,,47,16,"0,157",,,,,,,,,,,,,,,,,
,,57,19,"0,212",,,,,,,,,,,,,,,,,
"Tabel A.10 ̶ AI (Kayu bundar kecil) (p : 5,80 - 6,30 m; d : 4 - 19 cm)","5,80",9,4,"0,014",,,,,,,,,,,,,,,,,
,,19,7,"0,037",,,,,,,,,,,,,,,,,
,,28,10,"0,070",,,,,,,,,,,,,,,,,
,,38,13,"0,112",,,,,,,,,,,,,,,,,
,,47,16,"0,160",,,,,,,,,,,,,,,,,
,,57,19,"0,216",,,,,,,,,,,,,,,,,
,"5,90",9,4,"0,014",,,,,,,,,,,,,,,,,
,,19,7,"0,038",,,,,,,,,,,,,,,,,
,,28,10,"0,072",,,,,,,,,,,,,,,,,
,,38,13,"0,114",,,,,,,,,,,,,,,,,
,,47,16,"0,164",,,,,,,,,,,,,,,,,
,,57,19,"0,221",,,,,,,,,,,,,,,,,
,"6,00",9,4,"0,014",,,,,,,,,,,,,,,,,
,,19,7,"0,039",,,,,,,,,,,,,,,,,
,,28,10,"0,074",,,,,,,,,,,,,,,,,
,,38,13,"0,117",,,,,,,,,,,,,,,,,
,,47,16,"0,168",,,,,,,,,,,,,,,,,
,,57,19,"0,226",,,,,,,,,,,,,,,,,
,"6,10",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,040",,,,,,,,,,,,,,,,,
,,28,10,"0,076",,,,,,,,,,,,,,,,,
,,38,13,"0,120",,,,,,,,,,,,,,,,,
,,47,16,"0,172",,,,,,,,,,,,,,,,,
,,57,19,"0,231",,,,,,,,,,,,,,,,,
,"6,20",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,041",,,,,,,,,,,,,,,,,
,,28,10,"0,078",,,,,,,,,,,,,,,,,
,,38,13,"0,122",,,,,,,,,,,,,,,,,
,,47,16,"0,175",,,,,,,,,,,,,,,,,
,,57,19,"0,236",,,,,,,,,,,,,,,,,
,"6,30",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,042",,,,,,,,,,,,,,,,,
,,28,10,"0,079",,,,,,,,,,,,,,,,,
,,38,13,"0,125",,,,,,,,,,,,,,,,,
,,47,16,"0,179",,,,,,,,,,,,,,,,,
,,57,19,"0,241",,,,,,,,,,,,,,,,,
"Tabel A.11 ̶ AI (Kayu bundar kecil) (p : 6,40 - 6,90 m; d : 4 - 19 cm)","6,40",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,043",,,,,,,,,,,,,,,,,
,,28,10,"0,081",,,,,,,,,,,,,,,,,
,,38,13,"0,127",,,,,,,,,,,,,,,,,
,,47,16,"0,182",,,,,,,,,,,,,,,,,
,,57,19,"0,246",,,,,,,,,,,,,,,,,
,"6,50",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,044",,,,,,,,,,,,,,,,,
,,28,10,"0,083",,,,,,,,,,,,,,,,,
,,38,13,"0,130",,,,,,,,,,,,,,,,,
,,47,16,"0,186",,,,,,,,,,,,,,,,,
,,57,19,"0,251",,,,,,,,,,,,,,,,,
,"6,60",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,045",,,,,,,,,,,,,,,,,
,,28,10,"0,085",,,,,,,,,,,,,,,,,
,,38,13,"0,133",,,,,,,,,,,,,,,,,
,,47,16,"0,190",,,,,,,,,,,,,,,,,
,,57,19,"0,256",,,,,,,,,,,,,,,,,
,"6,70",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,046",,,,,,,,,,,,,,,,,
,,28,10,"0,087",,,,,,,,,,,,,,,,,
,,38,13,"0,136",,,,,,,,,,,,,,,,,
,,47,16,"0,194",,,,,,,,,,,,,,,,,
,,57,19,"0,261",,,,,,,,,,,,,,,,,
,"6,80",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,047",,,,,,,,,,,,,,,,,
,,28,10,"0,088",,,,,,,,,,,,,,,,,
,,38,13,"0,138",,,,,,,,,,,,,,,,,
,,47,16,"0,196",,,,,,,,,,,,,,,,,
,,57,19,"0,267",,,,,,,,,,,,,,,,,
,"6,90",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,048",,,,,,,,,,,,,,,,,
,,28,10,"0,090",,,,,,,,,,,,,,,,,
,,38,13,"0,141",,,,,,,,,,,,,,,,,
,,47,16,"0,202",,,,,,,,,,,,,,,,,
,,57,19,"0,272",,,,,,,,,,,,,,,,,
"Tabel A.12 ̶ AI (Kayu bundar kecil) (p : 7,00 - 7,50 m; d : 4 - 19 cm) ","7,00",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,049",,,,,,,,,,,,,,,,,
,,28,10,"0,092",,,,,,,,,,,,,,,,,
,,38,13,"0,144",,,,,,,,,,,,,,,,,
,,47,16,"0,206",,,,,,,,,,,,,,,,,
